finding_id	status	severity	category	unit	scope	summary	evidence	resolution	fix_commit	verification
PT-RESTART-DIAGNOSTIC-001	fixed	medium	command-scope-and-time-integrity	01-ops-scripts	scripts/diagnose-agent-restarts.mjs	Permissive CLI and unsafe time arithmetic could select unintended evidence or exceed the JavaScript Date domain	The baseline accepted duplicate options and noncanonical or overflowing numeric values then subtracted and added windows without saturation	Use strict native argument parsing, reject empty duplicate invalid or unsafe values, and clamp selected ranges to the Date domain	347fecc8,1b8af7aa	Empty duplicate overflow and both Date-domain extremes passed within focused suite 21/21 and independent boundary assertions
PT-RESTART-DIAGNOSTIC-002	fixed	high	bounded-readonly-evidence-integrity	01-ops-scripts	scripts/diagnose-agent-restarts.mjs; scripts/lib/codex-rollout.mjs	Recursive session workflow and SQLite discovery could read unbounded evidence and execute database inspection without explicit read-only timeout ceilings	The baseline recursively loaded complete session and workflow files and invoked SQLite without bounded rows buffer timeout or immutable mode	Cap discovery files bytes rows retained activities warnings and workflow tails; use time-ranged tail reads and read-only bounded SQLite inspection	347fecc8,1b8af7aa	Tail range row timeout cap newest-retention and rollout-parser regressions passed 21/21; independent generated boundary checks approved
PT-RESTART-DIAGNOSTIC-003	fixed	high	credential-and-terminal-content-integrity	01-ops-scripts	scripts/diagnose-agent-restarts.mjs; scripts/lib/redact-persisted-text.mjs	Raw persisted evidence could disclose credentials or forge terminal and report content through quoted escaped multiline or control-split values	The baseline redactor covered only narrow literal patterns after matching while ANSI bidi zero-width C0/C1 nested escaped malformed quoted YAML private-key signed-request and provider-token forms crossed the output boundary	Canonicalize controls before matching and apply one shared recursive redactor for structured and text sinks with strict diagnostic-code preservation	3f14b51a,347fecc8,1b8af7aa	Persistence suite passed 29/29; independent 130-shape quote escape control and platform-error matrix found zero leaks at the approved hashes
PT-RESTART-DIAGNOSTIC-004	fixed	high	evidence-completeness-and-attribution	01-ops-scripts	scripts/diagnose-agent-restarts.mjs	Missing or truncated sources could still be rendered as proven absence and a risk-filtered subset was labeled as all nearby agent activity	The baseline omitted stat-race failures from completeness and used broad activity wording for only matching command and tool evidence	Record every discovery and stat failure as conservative incomplete evidence, cap with warnings, and name JSON and text fields as matching risk activity only	347fecc8,1b8af7aa	Stat-race incomplete-evidence risk-only naming and retained-activity cap regressions passed within focused suite 21/21
PT-RESTART-DIAGNOSTIC-005	fixed	medium	chronological-correlation-integrity	01-ops-scripts	scripts/diagnose-agent-restarts.mjs	Correlation and workflow tails could retain or render the wrong temporal slice	The baseline used unsaturated range arithmetic linear correlation and filesystem-order workflow truncation before printing the first eight retained entries	Use inclusive binary-search correlation, keep the latest 20 matches, sort workflow evidence chronologically, cap the newest 100, and render the newest eight	347fecc8,1b8af7aa	Inclusive edge latest-20 chronological newest-retention and zero-incident range regressions passed within focused suite 21/21
PT-MCP-001	fixed	medium	correctness-resource	10-mcp-server	artifacts/mcp-server/src/shape.ts	Configured MCP response byte cap could be exceeded and hard cuts counted JavaScript characters instead of UTF-8 bytes	Pre-fix truncation appended an unbudgeted note and sliced full text by maxBytes characters	Budget the note inside the cap and truncate only at UTF-8 code-point boundaries	2524979e	MCP package tests 12/12; typecheck and build passed
PT-MCP-002	fixed	medium	contract-simplification	10-mcp-server	artifacts/mcp-server/src/tools/registry.ts	Two advertised MCP tools could only return 401 because their API routes required cookie authentication	Runtime probes returned 401 with no auth and invalid bearer while the three public diagnostic routes returned 200	Remove the unusable tools and dead bearer query and callback plumbing; lock the public registry with a test	0b9fbc9b	Registry test passed; removed endpoints probed 401/401 and retained endpoints 200/200/200
PT-ACC-001	awaiting_semantic	medium	financial-semantics	06-shared-domain-libs	lib/account-math/src/index.ts	A zero capital base reports a 0 percent return even though the return denominator is undefined	Base line 80 uses capitalBase ? ratio : 0 while summary types already permit null	Await user decision between zero and null semantics before changing the public return contract		All 161 baseline lines reviewed; no code changed
PT-IBKR-001	fixed	low	dead-code-reduction	06-shared-domain-libs	lib/ibkr-contracts	Retired bridge runtime parsers value helpers and HTTP error contracts remained exported without live consumers	Full caller scan and independent review found only four runtime types still consumed by the API	Delete 570 lines of bridge-era code and the unused Node type dependency while retaining consumed types	a6a1e585	Package and API consumer typechecks; Knip production scan; frozen lockfile validation; diff check passed
PT-CAL-001	fixed	high	financial-correctness	06-shared-domain-libs	lib/market-calendar/src/index.ts	Historical NYSE calendars applied modern holidays before their effective dates and omitted ad-hoc exchange closures	MLK was treated as closed before 1998; Juneteenth before 2022; 2001 2004 2007 2012 2018 and 2025 closures were absent	Gate holidays by effective year and add source-confirmed ad-hoc closure dates	240ebd51	Calendar tests 17/17; package backtest-core and backtest-worker typechecks passed
